
# Curve 0 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
 54.8384 -0.556768  i
 56.6364 -0.57003  i
 58.4343 -0.582695  i
 60.2323 -0.59477  i
 62.0303 -0.606175  i
 63.8283 -0.616912  i
 65.6263 -0.626997  i
 67.4242 -0.636437  i
 69.2222 -0.645269  i
 71.0202 -0.653519  i
 72.8182 -0.661138  i
 74.6162 -0.668093  i
 76.4141 -0.674434  i
 78.2121 -0.680222  i
 80.0101 -0.685273  i
 81.8081 -0.689731  i
 83.6061 -0.693596  i
 85.404 -0.696811  i
 87.202 -0.699373  i
 89 -0.701308  i


# Curve 9 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.67535  i
-87.202  0.673275  i
-85.404  0.67063  i
-83.6061  0.66735  i
-81.8081  0.663581  i
-80.0101  0.659195  i
-78.2121  0.654016  i
-76.4141  0.647958  i
-74.6162  0.641202  i
-72.8182  0.633824  i
-71.0202  0.625677  i
-69.2222  0.616937  i
-67.4242  0.607492  i
-65.6263  0.597245  i
-63.8283  0.586263  i
-62.0303  0.574596  i
-60.2323  0.562211  i
-58.4343  0.549232  i
-56.6364  0.535517  i
-54.8384  0.521052  i
-53.0404  0.505995  i
-51.2424  0.490487  i
-49.4444  0.474492  i
-47.6465  0.457983  i
-45.8485  0.441168  i
-44.0505  0.423918  i
-42.2525  0.406281  i
-40.4545  0.388148  i
-38.6566  0.369804  i
-36.8586  0.351444  i
-35.0606  0.332756  i
-33.2626  0.31398  i
-31.4646  0.295355  i
-29.6667  0.276662  i
-27.8687  0.257936  i
-26.0707  0.239386  i
-24.2727  0.220905  i
-22.4747  0.202552  i
-20.6768  0.184491  i
-18.8788  0.166555  i
-17.0808  0.148807  i
-15.2828  0.131214  i
-13.4848  0.11373  i
-11.6869  0.0963865  i
-9.88889  0.0793439  i
-8.09091  0.0626616  i
-6.29293  0.0461643  i
-4.49495  0.0296219  i
-2.69697  0.0131585  i
-0.89899 -0.00327679  i
 0.89899 -0.0197134  i
 2.69697 -0.0363287  i
 4.49495 -0.0532499  i
 6.29293 -0.0700927  i
 8.09091 -0.0870081  i
 9.88889 -0.104035  i
 11.6869 -0.121219  i
 13.4848 -0.138739  i
 15.2828 -0.156512  i
 17.0808 -0.174425  i
 18.8788 -0.192573  i
 20.6768 -0.211128  i
 22.4747 -0.229886  i
 24.2727 -0.248871  i
 26.0707 -0.267769  i
 27.8687 -0.286663  i
 29.6667 -0.305874  i
 31.4646 -0.325194  i
 33.2626 -0.344551  i
 35.0606 -0.363793  i
 36.8586 -0.382885  i
 38.6566 -0.4019  i
 40.4545 -0.420826  i
 42.2525 -0.439432  i
 44.0505 -0.457548  i
 45.8485 -0.475072  i
 47.6465 -0.492105  i
 49.4444 -0.508632  i
 51.2424 -0.524549  i
